description,business_tags,sector,category,niche,candidate_labels,candidate_sim_scores,zero_shot_scores,final_labels
"Welchcivils is a civil engineering and construction company that specializes in designing and building utility network connections across the UK. They offer multi-utility solutions that combine electricity, gas, water, and fibre optic installation into a single contract. Their design engineer teams are capable of designing electricity, water and gas networks from existing network connection points to meter locations at the development, as well as project management of reinforcements and diversions. They provide custom connection solutions that take into account any existing assets, maximize the usage of every trench, and meet project deadlines. Welchcivils has considerable expertise installing gas and electricity connections in a variety of market categories, including residential, commercial, and industrial projects, as as well.","['Construction Services', 'Multi-utilities', 'Utility Network Connections Design and Construction', 'Water Connection Installation', 'Multi-utility Connections', 'Fiber Optic Installation']",Services,Civil Engineering Services,Other Heavy and Civil Engineering Construction,"['Pipeline Construction Services', 'Residential Electrical Services', 'Commercial Electrical Services', 'Commercial Construction Services', 'Industrial Plumbing Services', 'Electric Line Construction', 'Infrastructure Excavation', 'Multi-Family Construction Services', 'Cable Installation Services', 'Insulation Services']","[0.5658457, 0.5097127, 0.49567527, 0.48040244, 0.47354585, 0.45154375, 0.4515401, 0.45071185, 0.4490946, 0.44883054]","{'Pipeline Construction Services': 0.03229919821023941, 'Residential Electrical Services': 0.22396241128444672, 'Commercial Electrical Services': 0.18787714838981628, 'Commercial Construction Services': 0.41622090339660645, 'Industrial Plumbing Services': 0.042196787893772125, 'Electric Line Construction': 0.4052812457084656, 'Infrastructure Excavation': 0.27142542600631714, 'Multi-Family Construction Services': 0.13065363466739655, 'Cable Installation Services': 0.086095429956913, 'Insulation Services': 0.01338390912860632}","['Commercial Construction Services', 'Electric Line Construction']"
"Kyoto Vegetable Specialists Uekamo, also known as Iwa-machi, is a company based in Kyoto, Japan that specializes in the sale of vegetables. They have been in business for ten years and offer a collection of vegetable recipes through their Keiō Vegetable Recipe Collection and Online Shop. The company is directly owned by Uekamoo Farm, Uekame Farm, and Lobechi Shijo-hara Farm. They offer a variety of vegetable products, including suguki-zuke and Kamoo eggplant, and also accept production cultivation according to customer requests. Iwaichi Limited Company uses their experience in production and sales to provide tailored vegetables to meet customer needs and also accepts cultivation of products according to their requirements.","['Wholesale', 'Dual-task Movement Products', 'Cast Iron Products Manufacturer', 'Manufacturing Technology', 'Food and Beverage', 'Rice And Noodles', 'High-quality Gloss of Cast Iron', 'Rice Wholesaler', 'Miscellaneous Crop Farming', 'Health and Wellness Products', 'Agricultural Cooperative', 'Medical Practice Based on Eastern Medicine', 'Production', 'Rice Pudding']",Manufacturing,Fruit & Vegetable - Markets & Stores,"Frozen Fruit, Juice, and Vegetable Manufacturing","['Food Processing Services', 'Agricultural Equipment Services', 'Seafood Processing Services', 'Ornamental Plant Nurseries', 'Bakery Production Services', 'Confectionery Manufacturing', 'Coffee Processing Services', 'Meat Processing Services', 'Food Safety Services', 'Dairy Production Services']","[0.40571022, 0.39858264, 0.36367762, 0.36276492, 0.35773546, 0.34123638, 0.34115124, 0.33935234, 0.3283182, 0.32532793]","{'Food Processing Services': 0.09245264530181885, 'Agricultural Equipment Services': 0.021025272086262703, 'Seafood Processing Services': 0.0049108960665762424, 'Ornamental Plant Nurseries': 0.01741679571568966, 'Bakery Production Services': 0.021734829992055893, 'Confectionery Manufacturing': 0.006225369405001402, 'Coffee Processing Services': 0.017521696165204048, 'Meat Processing Services': 0.004724286962300539, 'Food Safety Services': 0.043938301503658295, 'Dairy Production Services': 0.011101714335381985}",[]
"Loidholdhof Integrative Hofgemeinschaft is a company that offers a range of services and products to its customers. Their products are all handmade and of the highest quality, produced on a biodynamic basis with a focus on freshness and quality. The company's product range includes homemade bread, honey from their own beekeeping, syrup, and fresh vegetables, which can be purchased in their farm shop. In addition to their farm products, they also have a farm shop and cafe where customers can enjoy fresh coffee and delicious cakes.","['Living Forms', 'Farm Cafe', 'Fresh Coffee', 'Community Engagement', 'Freshly Baked Bread', 'Social Interaction Opportunities', 'Fresh Vegetables', 'Homemade Honey', 'Delicious Cakes', 'Community-oriented Living', 'Handmade Products', 'Fresh Juices', 'Farm Fresh Products', 'Integrated Farming Community', 'Biodynamic Farming']",Manufacturing,Farms & Agriculture Production,All Other Miscellaneous Crop Farming,"['Bakery Production Services', 'Confectionery Manufacturing', 'Agricultural Equipment Services', 'Dairy Production Services', 'Food Processing Services', 'Grain Processing Services', 'Meat Processing Services', 'Livestock Dealer Services', 'Gardening Services', 'Coffee Processing Services']","[0.49026528, 0.45671016, 0.42583674, 0.42295566, 0.42041135, 0.3761791, 0.37536082, 0.37328148, 0.359013, 0.35533547]","{'Bakery Production Services': 0.012697000987827778, 'Confectionery Manufacturing': 0.001256722491234541, 'Agricultural Equipment Services': 0.010197366587817669, 'Dairy Production Services': 0.008468376472592354, 'Food Processing Services': 0.008393132127821445, 'Grain Processing Services': 0.008411907590925694, 'Meat Processing Services': 0.0021991373505443335, 'Livestock Dealer Services': 0.0056466213427484035, 'Gardening Services': 0.017467893660068512, 'Coffee Processing Services': 0.04268015921115875}",[]
"PATAGONIA Chapa Y Pintura is an auto body shop located in Comodoro Rivadavia, Chubut Province, Argentina. The company specializes in providing auto body repair services.","['Automotive Body Repair Services', 'Interior Repair Services']",Services,Auto Body Shops,"Automotive Body, Paint, and Interior Repair and Maintenance","['Coffee Processing Services', 'Apparel Manufacturing', 'Textile Manufacturing Services', 'Food Processing Services', 'Sheet Metal Services', 'Cosmetic Manufacturing', 'Asphalt Production Services', 'Pet Grooming Services', 'Meat Processing Services', 'Commercial Construction Services']","[0.33400184, 0.31740677, 0.30248114, 0.2992435, 0.291986, 0.29075766, 0.29066682, 0.2895465, 0.2759219, 0.27542552]","{'Coffee Processing Services': 0.0006857980042695999, 'Apparel Manufacturing': 0.0001694469974609092, 'Textile Manufacturing Services': 0.0002313891745870933, 'Food Processing Services': 0.00023921485990285873, 'Sheet Metal Services': 0.0005391852464526892, 'Cosmetic Manufacturing': 0.0002658081357367337, 'Asphalt Production Services': 0.001027795486152172, 'Pet Grooming Services': 0.0007551051676273346, 'Meat Processing Services': 0.0002008430310525, 'Commercial Construction Services': 0.001420321175828576}",[]
"Stanica WODNA PTTK Swornegacie is a cultural establishment located in Swornychgaciach, Poland. It is a popular destination for kayakers and tourists of all levels, offering a variety of activities and events. The establishment is managed by Zbigniew Galiński.","['Cultural Activities', 'Accommodation Services', 'Kayak Rentals', 'Small Gastronomy Products', 'Tourism Services', 'Recreational Activities', 'Cultural Center']",Services,Boat Tours & Cruises,"Scenic and Sightseeing Transportation, Water","['Welding Services', 'Tent Manufacturing Services', 'Carpentry Services', 'Physical Therapy Services', 'Fishing and Hunting Services', 'Brewery Operations', 'Ice Production Services', 'Waterproofing Services', 'Laboratory Services', 'Field Welding Services']","[0.24785739, 0.24433027, 0.24286133, 0.23692313, 0.23622742, 0.23186827, 0.22370027, 0.2176396, 0.21625414, 0.21443158]","{'Welding Services': 0.0010023879585787654, 'Tent Manufacturing Services': 0.0007321562734432518, 'Carpentry Services': 0.0008489111205562949, 'Physical Therapy Services': 0.0005504755536094308, 'Fishing and Hunting Services': 0.0007662675925530493, 'Brewery Operations': 0.0009198709740303457, 'Ice Production Services': 0.0013720969436690211, 'Waterproofing Services': 0.014561365358531475, 'Laboratory Services': 0.0027046198956668377, 'Field Welding Services': 0.0007267463952302933}",[]
"BIQ Benefícios is a Brazilian company that specializes in generating benefits for both individuals and businesses. With a structure of three large companies in the food sector and 20 years of experience, BIQ Beneficios has extensive knowledge in this field. The company aims to revolutionize the market through quality services for its customers, accredited employees, and collaborators. BIQ Benefits is duly accredited by the PAT (Worker Food Program) and offers a wide network of accredited establishments that provides employees with the freedom to choose healthy food options. The BIQ Duo card is perfect for those who travel frequently. The app allows users to perform balance queries and statements of BIQ cards, as well as see the average daily spending so that their balance lasts until the end of the month.","['Healthy Food Options', 'Accredited Establishments', 'Daily Spending Tracking Service', 'Benefits and Payment Solutions', 'Balance Queries', 'Balance Statements', 'Benefit Generation', 'Food Cards', 'Flexible and Personalized Benefits Strategy']",Services,Payment Processing & Point of Sale,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","['Food Processing Services', 'Business Development Services', 'Coffee Processing Services', 'Catering Services', 'Bakery Production Services', 'Financial Services', 'Marketing Services', 'Meat Processing Services', 'Food Safety Services', 'Travel Services']","[0.44317228, 0.42181247, 0.41555822, 0.41135433, 0.4065019, 0.40415245, 0.39770663, 0.3893998, 0.38911223, 0.38183558]","{'Food Processing Services': 0.16046638786792755, 'Business Development Services': 0.1354311853647232, 'Coffee Processing Services': 0.024883415549993515, 'Catering Services': 0.015311582013964653, 'Bakery Production Services': 0.04477904364466667, 'Financial Services': 0.8060199022293091, 'Marketing Services': 0.01293391827493906, 'Meat Processing Services': 0.013588294386863708, 'Food Safety Services': 0.021242985501885414, 'Travel Services': 0.044073496013879776}",['Financial Services']
"EnvCompli is a company that provides personalized Industrial General Permit (IGP) Management services for Storm Water Compliance needs. They offer an assigned specialist to meet all your needs, coordinate your lab sample results, and manage your SMARTs account. Their services include preparing a Storm Water Pollution Prevention Plan (Swppp) with on-site evaluation, BMPs evaluation, Monitoring Implementation Plan, Site Map, and SWPPP revision. They also provide customized Inspection Forms to meet your facility needs. EnvComplI was founded by a Stormwater Compliance expert with experience in various industries such as transportation, metal fabrication, scrap metals, plastic film & extrusion, food processing, oil & gas, wood mills, and aerospace. They provide on-the-spot NEC evaluation and solution to ensure the NEC requirements have been met. Additionally, they offer SMART data entry for AdHoc Report (Lab Report) and Annual Report.","['Source Control', 'Inspection and Sampling Event Forms', 'Stormwater Management', 'State Water Boards Smarts']",Services,Environmental Engineering Services,Environmental Consulting Services,"['Environmental Consulting', 'Water Treatment Services', 'Residential Drainage Systems', 'Environmental Health Services', 'Waterproofing Services', 'Industrial Plumbing Services', 'Septic System Services', 'Pipeline Construction Services', 'Commercial Irrigation Systems', 'Residential Plumbing Services']","[0.5257374, 0.49574494, 0.4631269, 0.44617233, 0.44554403, 0.43420112, 0.42240465, 0.4180932, 0.4151093, 0.41369802]","{'Environmental Consulting': 0.9589489698410034, 'Water Treatment Services': 0.01895282231271267, 'Residential Drainage Systems': 0.18500058352947235, 'Environmental Health Services': 0.0023168919142335653, 'Waterproofing Services': 0.01321350410580635, 'Industrial Plumbing Services': 0.008894289843738079, 'Septic System Services': 0.07811900973320007, 'Pipeline Construction Services': 0.03704383224248886, 'Commercial Irrigation Systems': 0.27381977438926697, 'Residential Plumbing Services': 0.02726064808666706}",['Environmental Consulting']
"Corrugated Beam Form Ltd is a company based in Walsall, England, specializing in the supply of concrete products.","['Cut Sheets', 'Formwork Installation Services', 'Corner Joints', 'Lightweight Polypropylene Manufacturer', 'Welded Cages', 'Full Drawings Installation Videos', 'Concrete Products', 'Manufacturing', 'Light Weight Polypropyl Alcohol', 'Drawing Take-offs Services', 'Installation Guides', 'Prefabricated U-sections', 'Construction Materials Manufacturing', 'Light and Rigid Formwork']",Manufacturing,Building Material Manufacturers,Engineered Wood Member Manufacturing,"['Pallet Manufacturing', 'Sheet Metal Services', 'Commercial Construction Services', 'Non-Structural Steel Fabrication', 'Masonry Construction Services', 'Tent Manufacturing Services', 'Tilt-Up Concrete Services', 'Welding Services', 'Residential Roofing Services', 'Field Welding Services']","[0.49299872, 0.4890462, 0.45218778, 0.43925613, 0.40957183, 0.40729052, 0.40694225, 0.40647173, 0.40387613, 0.39990115]","{'Pallet Manufacturing': 0.0030045066960155964, 'Sheet Metal Services': 0.04372910410165787, 'Commercial Construction Services': 0.636164128780365, 'Non-Structural Steel Fabrication': 0.00931557733565569, 'Masonry Construction Services': 0.011418395675718784, 'Tent Manufacturing Services': 0.00396342109888792, 'Tilt-Up Concrete Services': 0.08681176602840424, 'Welding Services': 0.04329828545451164, 'Residential Roofing Services': 0.012504191137850285, 'Field Welding Services': 0.026934271678328514}",['Commercial Construction Services']
"The company specializes in the production and distribution of packaging materials, including cardboard sealing tape, wholesale packaging, and packaging supplies. They also offer printed packaging services.","['C Packaging Solutions', 'Wholesale Package', 'Printed Packaging', 'Carton Sealing Tape']",Wholesale,Paper & Cardboard Products,Industrial and Personal Service Paper Merchant Wholesalers,"['Paper Production Services', 'Carpet Manufacturing Services', 'Food Processing Services', 'Textile Manufacturing Services', 'Insulation Services', 'Sheet Metal Services', 'Stationery Manufacturing', 'Bakery Production Services', 'Tent Manufacturing Services', 'Gas Manufacturing Services']","[0.5991927, 0.47838563, 0.4669384, 0.46519595, 0.4636225, 0.4520952, 0.44523594, 0.44097686, 0.43427774, 0.43175238]","{'Paper Production Services': 0.14889466762542725, 'Carpet Manufacturing Services': 0.00030169388628564775, 'Food Processing Services': 0.0019284377340227365, 'Textile Manufacturing Services': 0.00021218684560153633, 'Insulation Services': 0.0005450827302411199, 'Sheet Metal Services': 0.00020153254445176572, 'Stationery Manufacturing': 0.0002646401117090136, 'Bakery Production Services': 0.0009826268069446087, 'Tent Manufacturing Services': 0.002072183648124337, 'Gas Manufacturing Services': 0.00037131644785404205}",[]
"Indira Caterz And Event Managerzz is a company categorized under restaurant supply stores. It is located in Alappuzha, Kerala, India. The company specializes in providing supplies for restaurants and event management services.","['Event Organization Services', 'Restaurant Supply Store']",Wholesale,Restaurant Equipment,Other Commercial Equipment Merchant Wholesalers,"['Catering Services', 'Event Planning Services', 'Food Processing Services', 'Marketing Services', 'Seafood Processing Services', 'E-Commerce Services', 'Travel Services', 'Bakery Production Services', 'Crisis Management Services', 'Coffee Processing Services']","[0.51932573, 0.4327491, 0.39778513, 0.35277355, 0.33889198, 0.33504272, 0.33235574, 0.33132276, 0.30843604, 0.3078383]","{'Catering Services': 0.21193353831768036, 'Event Planning Services': 0.1968991905450821, 'Food Processing Services': 0.0008185498882085085, 'Marketing Services': 0.001480268663726747, 'Seafood Processing Services': 0.0007644163561053574, 'E-Commerce Services': 0.000845890142954886, 'Travel Services': 0.000586825655773282, 'Bakery Production Services': 0.0004971964517608285, 'Crisis Management Services': 0.0006596120656467974, 'Coffee Processing Services': 0.0005820475635118783}",[]
